Tropical CH4 mixing ratios
1945-1984: CMIP6 based on scaled South Pole firn air.
1984-2023: MBL data set from NOAA (https://gml.noaa.gov/ccgg/mbl/).

        Year       CH4 (ppb)
     1945.042     1115.183
     1945.125     1115.545
     1945.208     1115.906
     1945.292     1116.268
     1945.375     1116.630
     1945.458     1116.991
     1945.542     1117.353
     1945.625     1117.715
     1945.708     1118.076
     1945.792     1118.438
     1945.875     1118.800
     1945.958     1119.161
     1946.042     1119.592
     1946.125     1120.090
     1946.208     1120.588
     1946.292     1121.087
     1946.375     1121.585
     1946.458     1122.083
     1946.542     1122.581
     1946.625     1123.080
     1946.708     1123.578
     1946.792     1124.076
     1946.875     1124.575
     1946.958     1125.073
     1947.042     1125.572
     1947.125     1126.071
     1947.208     1126.570
     1947.292     1127.069
     1947.375     1127.569
     1947.458     1128.067
     1947.542     1128.567
     1947.625     1129.066
     1947.708     1129.565
     1947.792     1130.064
     1947.875     1130.563
     1947.958     1131.062
     1948.042     1131.509
     1948.125     1131.902
     1948.208     1132.295
     1948.292     1132.689
     1948.375     1133.082
     1948.458     1133.475
     1948.542     1133.869
     1948.625     1134.262
     1948.708     1134.655
     1948.792     1135.049
     1948.875     1135.442
     1948.958     1135.835
     1949.042     1136.177
     1949.125     1136.466
     1949.208     1136.755
     1949.292     1137.044
     1949.375     1137.334
     1949.458     1137.623
     1949.542     1137.912
     1949.625     1138.201
     1949.708     1138.490
     1949.792     1138.780
     1949.875     1139.069
     1949.958     1139.358
     1950.042     1139.710
     1950.125     1140.126
     1950.208     1140.542
     1950.292     1140.958
     1950.375     1141.374
     1950.458     1141.789
     1950.542     1142.205
     1950.625     1142.621
     1950.708     1143.036
     1950.792     1143.453
     1950.875     1143.869
     1950.958     1144.284
     1951.042     1144.721
     1951.125     1145.180
     1951.208     1145.638
     1951.292     1146.096
     1951.375     1146.555
     1951.458     1147.013
     1951.542     1147.472
     1951.625     1147.930
     1951.708     1148.388
     1951.792     1148.847
     1951.875     1149.305
     1951.958     1149.763
     1952.042     1150.370
     1952.125     1151.124
     1952.208     1151.878
     1952.292     1152.632
     1952.375     1153.387
     1952.458     1154.140
     1952.542     1154.895
     1952.625     1155.649
     1952.708     1156.402
     1952.792     1157.157
     1952.875     1157.911
     1952.958     1158.665
     1953.042     1159.504
     1953.125     1160.427
     1953.208     1161.348
