Tropical CO2 mixing ratios
1945-1958: Extension back in time based on growth rate and estimate of seasonal cycle.
1958-1979: Based on Mauna Loa.
1979-2023: MBL data set from NOAA (https://gml.noaa.gov/ccgg/mbl/).

        Year       CO2 (ppm)
     1945.042      306.509
     1945.125      307.189
     1945.208      307.462
     1945.292      307.761
     1945.375      307.891
     1945.458      307.595
     1945.542      307.037
     1945.625      306.199
     1945.708      305.661
     1945.792      305.521
     1945.875      306.009
     1945.958      306.411
     1946.042      306.962
     1946.125      307.646
     1946.208      307.930
     1946.292      308.230
     1946.375      308.352
     1946.458      308.067
     1946.542      307.513
     1946.625      306.676
     1946.708      306.133
     1946.792      306.006
     1946.875      306.493
     1946.958      306.892
     1947.042      307.450
     1947.125      308.134
     1947.208      308.415
     1947.292      308.718
     1947.375      308.852
     1947.458      308.559
     1947.542      308.009
     1947.625      307.172
     1947.708      306.641
     1947.792      306.506
     1947.875      306.993
     1947.958      307.400
     1948.042      307.958
     1948.125      308.642
     1948.208      308.934
     1948.292      309.238
     1948.375      309.364
     1948.458      309.083
     1948.542      308.533
     1948.625      307.699
     1948.708      307.161
     1948.792      307.037
     1948.875      307.528
     1948.958      307.931
     1949.042      308.497
     1949.125      309.185
     1949.208      309.466
     1949.292      309.777
     1949.375      309.911
     1949.458      309.626
     1949.542      309.076
     1949.625      308.246
     1949.708      307.719
     1949.792      307.588
     1949.875      308.083
     1949.958      308.493
     1950.042      309.060
     1950.125      309.744
     1950.208      310.036
     1950.292      310.347
     1950.375      310.477
     1950.458      310.200
     1950.542      309.654
     1950.625      308.824
     1950.708      308.289
     1950.792      308.170
     1950.875      308.665
     1950.958      309.072
     1951.042      309.642
     1951.125      310.333
     1951.208      310.622
     1951.292      310.933
     1951.375      311.075
     1951.458      310.790
     1951.542      310.248
     1951.625      309.422
     1951.708      308.895
     1951.792      308.771
     1951.875      309.267
     1951.958      309.685
     1952.042      310.255
     1952.125      310.943
     1952.208      311.239
     1952.292      311.554
     1952.375      311.688
     1952.458      311.415
     1952.542      310.873
     1952.625      310.051
     1952.708      309.520
     1952.792      309.404
     1952.875      309.903
     1952.958      310.314
     1953.042      310.888
     1953.125      311.583
     1953.208      311.876
     1953.292      312.195
     1953.375      312.337
     1953.458      312.059
     1953.542      311.521
     1953.625      310.695
     1953.708      310.176
     1953.792      310.057
     1953.875      310.556
     1953.958      310.974
     1954.042      311.552
     1954.125      312.244
     1954.208      312.548
     1954.292      312.863
