Tropical SF6 mixing ratios
1945-1975: Engel et al. (2009) values.
1972-1978: Gradually change the ratio to the full WACCM value.
1978-1980: Scaled annual Cape Grim data based on ratio of MLO-SMO avg/Cape Grim after 1996.
1980-1995.6: Scaled monthly Cape Grim data from Engel et al. (2009).
1995.7-2023: MBL data set from NOAA (https://gml.noaa.gov/ccgg/mbl/).

        Year       SF6 (ppt)
     1945.042        0.000
     1945.125        0.000
     1945.208        0.000
     1945.292        0.000
     1945.375        0.000
     1945.458        0.000
     1945.542        0.000
     1945.625        0.000
     1945.708        0.000
     1945.792        0.000
     1945.875        0.000
     1945.958        0.000
     1946.042        0.000
     1946.125        0.000
     1946.208        0.000
     1946.292        0.000
     1946.375        0.000
     1946.458        0.000
     1946.542        0.000
     1946.625        0.000
     1946.708        0.000
     1946.792        0.000
     1946.875        0.000
     1946.958        0.000
     1947.042        0.000
     1947.125        0.000
     1947.208        0.000
     1947.292        0.000
     1947.375        0.000
     1947.458        0.000
     1947.542        0.000
     1947.625        0.000
     1947.708        0.000
     1947.792        0.000
     1947.875        0.000
     1947.958        0.000
     1948.042        0.000
     1948.125        0.000
     1948.208        0.000
     1948.292        0.000
     1948.375        0.000
     1948.458        0.000
     1948.542        0.000
     1948.625        0.000
     1948.708        0.000
     1948.792        0.000
     1948.875        0.000
     1948.958        0.000
     1949.042        0.000
     1949.125        0.000
     1949.208        0.000
     1949.292        0.000
     1949.375        0.000
     1949.458        0.000
     1949.542        0.000
     1949.625        0.000
     1949.708        0.000
     1949.792        0.000
     1949.875        0.000
     1949.958        0.000
     1950.042        0.000
     1950.125        0.000
     1950.208        0.000
     1950.292        0.000
     1950.375        0.000
     1950.458        0.000
     1950.542        0.000
     1950.625        0.000
     1950.708        0.000
     1950.792        0.000
     1950.875        0.000
     1950.958        0.000
     1951.042        0.000
     1951.125        0.000
     1951.208        0.000
     1951.292        0.000
     1951.375        0.000
     1951.458        0.000
     1951.542        0.000
     1951.625        0.000
     1951.708        0.000
     1951.792        0.000
     1951.875        0.000
     1951.958        0.000
     1952.042        0.000
     1952.125        0.000
     1952.208        0.000
     1952.292        0.000
     1952.375        0.000
     1952.458        0.000
     1952.542        0.000
     1952.625        0.000
     1952.708        0.000
     1952.792        0.000
     1952.875        0.000
     1952.958        0.000
     1953.042        0.000
     1953.125        0.000
     1953.208        0.000
     1953.292        0.000
     1953.375        0.000
     1953.458        0.000
     1953.542        0.000
     1953.625        0.000
     1953.708        0.000
     1953.792        0.000
     1953.875        0.000
     1953.958        0.000
     1954.042        0.000
     1954.125        0.000
     1954.208        0.000
     1954.292        0.000
     1954.375        0.000
     1954.458        0.000
     1954.542        0.000
     1954.625        0.001
     1954.708        0.001
     1954.792        0.001
     1954.875        0.001
     1954.958        0.001
     1955.042        0.001
     1955.125        0.001
     1955.208        0.001
     1955.292        0.001
     1955.375        0.001
     1955.458        0.002
     1955.542        0.002
     1955.625        0.002
     1955.708        0.002
     1955.792        0.002
     1955.875        0.002
     1955.958        0.002
     1956.042        0.002
     1956.125        0.003
     1956.208        0.003
     1956.292        0.003
     1956.375        0.003
     1956.458        0.003
     1956.542        0.003
     1956.625        0.003
     1956.708        0.004
     1956.792        0.004
     1956.875        0.004
     1956.958        0.004
     1957.042        0.004
     1957.125        0.004
     1957.208        0.004
     1957.292        0.005
     1957.375        0.005
     1957.458        0.005
     1957.542        0.005
     1957.625        0.005
     1957.708        0.005
     1957.792        0.006
     1957.875        0.006
     1957.958        0.006
     1958.042        0.006
     1958.125        0.006
     1958.208        0.006
     1958.292        0.007
     1958.375        0.007
     1958.458        0.007
     1958.542        0.007
     1958.625        0.007
     1958.708        0.008
     1958.792        0.008
     1958.875        0.008
     1958.958        0.009
     1959.042        0.009
     1959.125        0.009
     1959.208        0.010
     1959.292        0.010
     1959.375        0.010
     1959.458        0.011
     1959.542        0.011
     1959.625        0.012
     1959.708        0.012
     1959.792        0.013
     1959.875        0.013
     1959.958        0.014
     1960.042        0.014
     1960.125        0.015
     1960.208        0.015
     1960.292        0.016
     1960.375        0.016
     1960.458        0.017
     1960.542        0.017
     1960.625        0.018
     1960.708        0.018
     1960.792        0.019
     1960.875        0.019
     1960.958        0.020
     1961.042        0.020
     1961.125        0.021
     1961.208        0.021
     1961.292        0.022
     1961.375        0.022
     1961.458        0.023
     1961.542        0.023
     1961.625        0.024
